flt_id,fltNum,depStn,arrStn,utcSTD,utcSTA,cancelled,utcEstOUT,utcEstIN,utcATD,utcATA,first,business,coach,ac_registration
FL-EK-0096-20161230-FCO-DXB-0,96,FCO,DXB,30/12/2016 19:45,31/12/2016 01:30,FALSE,30/12/2016 19:45,31/12/2016 01:30,NA,NA,4,69,418,A0WVQ
FL-EK-0370-20161231-DXB-BKK-0,370,DXB,BKK,31/12/2016 07:45,31/12/2016 13:50,FALSE,31/12/2016 07:45,31/12/2016 13:50,NA,NA,0,22,384,A0WCS
FL-EK-0150-20161227-AMS-DXB-0,150,AMS,DXB,27/12/2016 21:00,28/12/2016 03:35,FALSE,27/12/2016 21:00,28/12/2016 03:35,NA,NA,12,74,423,A0WLW
FL-EK-0211-20161230-DXB-IAH-0,211,DXB,IAH,30/12/2016 05:05,30/12/2016 21:50,FALSE,30/12/2016 05:05,30/12/2016 21:50,NA,NA,5,37,248,A0WDQ
FL-EK-0384-20161229-BKK-HKG-0,384,BKK,HKG,29/12/2016 06:45,29/12/2016 09:30,FALSE,29/12/2016 06:45,29/12/2016 09:30,NA,NA,6,69,409,A0WVE
FL-EK-0863-20161228-MCT-DXB-0,863,MCT,DXB,28/12/2016 06:50,28/12/2016 07:55,FALSE,28/12/2016 06:50,28/12/2016 07:55,NA,NA,0,0,1,A0WIW
FL-EK-0159-20161229-DXB-OSL-0,159,DXB,OSL,29/12/2016 03:45,29/12/2016 11:00,FALSE,29/12/2016 03:45,29/12/2016 11:00,NA,NA,0,10,298,A0WWN
FL-EK-0350-20161227-DXB-BKK-0,350,DXB,BKK,27/12/2016 16:15,27/12/2016 22:20,FALSE,27/12/2016 16:15,27/12/2016 22:20,NA,NA,0,39,386,A0WWQ
FL-EK-0083-20161228-DXB-GVA-0,83,DXB,GVA,28/12/2016 10:50,28/12/2016 17:55,FALSE,28/12/2016 10:50,28/12/2016 17:55,NA,NA,2,20,58,A0WGT
FL-EK-0585-20161228-DAC-DXB-0,585,DAC,DXB,28/12/2016 18:45,29/12/2016 00:25,FALSE,28/12/2016 18:45,29/12/2016 00:25,NA,NA,0,34,373,A0WCS
FL-EK-0858-20161227-KWI-DXB-0,858,KWI,DXB,27/12/2016 14:45,27/12/2016 16:30,FALSE,27/12/2016 14:45,27/12/2016 16:30,NA,NA,4,34,153,A0WCT
FL-EK-0980-20161229-IKA-DXB-0,980,IKA,DXB,29/12/2016 16:35,29/12/2016 18:50,FALSE,29/12/2016 16:35,29/12/2016 18:50,NA,NA,2,32,181,A0WMA
FL-EK-0230-20161227-SEA-DXB-0,230,SEA,DXB,27/12/2016 01:10,27/12/2016 15:45,FALSE,27/12/2016 01:10,27/12/2016 15:45,27/12/2016 01:10,NA,1,28,289,A0WDO
FL-EK-0864-20161229-DXB-MCT-0,864,DXB,MCT,29/12/2016 12:40,29/12/2016 13:55,FALSE,29/12/2016 12:40,29/12/2016 13:55,NA,NA,0,13,130,A0WIG
FL-EK-0061-20161227-DXB-HAM-0,61,DXB,HAM,27/12/2016 11:00,27/12/2016 18:05,FALSE,27/12/2016 11:00,27/12/2016 18:05,27/12/2016 11:00,NA,1,5,129,A0WMI
FL-EK-0412-20161229-DXB-SYD-0,412,DXB,SYD,29/12/2016 06:15,29/12/2016 20:00,FALSE,29/12/2016 06:15,29/12/2016 20:00,NA,NA,10,45,337,A0WNN
FL-EK-0218-20161230-LAX-DXB-0,218,LAX,DXB,30/12/2016 05:30,30/12/2016 21:30,FALSE,30/12/2016 05:30,30/12/2016 21:30,NA,NA,7,38,326,A0WLF
FL-EK-0725-20161228-DXB-DAR-0,725,DXB,DAR,28/12/2016 06:30,28/12/2016 12:00,FALSE,28/12/2016 06:30,28/12/2016 12:00,NA,NA,1,32,280,A0WWB
FL-EK-0006-20161230-LHR-DXB-0,6,LHR,DXB,30/12/2016 22:00,31/12/2016 04:45,FALSE,30/12/2016 22:00,31/12/2016 04:45,NA,NA,7,70,404,A0WFA
FL-EK-0162-20161229-DUB-DXB-0,162,DUB,DXB,29/12/2016 12:55,29/12/2016 20:25,FALSE,29/12/2016 12:55,29/12/2016 20:25,NA,NA,0,42,383,A0WWV
FL-EK-0376-20161227-DXB-BKK-0,376,DXB,BKK,27/12/2016 23:30,28/12/2016 05:35,FALSE,27/12/2016 23:30,28/12/2016 05:35,NA,NA,0,55,555,A0WVI
FL-EK-0404-20161227-DXB-SIN-0,404,DXB,SIN,27/12/2016 05:35,27/12/2016 12:55,FALSE,27/12/2016 05:35,27/12/2016 12:55,27/12/2016 05:35,NA,7,71,286,A0WVZ
FL-EK-0369-20161228-CGK-DXB-0,369,CGK,DXB,28/12/2016 00:45,28/12/2016 09:00,FALSE,28/12/2016 00:45,28/12/2016 09:00,NA,NA,0,11,303,A0WGL
FL-EK-0378-20161228-DXB-HKT-0,378,DXB,HKT,28/12/2016 08:45,28/12/2016 14:50,FALSE,28/12/2016 08:45,28/12/2016 14:50,NA,NA,8,41,298,A0WWL
FL-EK-0308-20161231-DXB-PEK-0,308,DXB,PEK,31/12/2016 07:10,31/12/2016 14:30,FALSE,31/12/2016 07:10,31/12/2016 14:30,NA,NA,0,11,220,A0WGK
FL-EK-0927-20161228-DXB-CAI-0,927,DXB,CAI,28/12/2016 04:15,28/12/2016 08:25,FALSE,28/12/2016 04:15,28/12/2016 08:25,NA,NA,6,35,317,A0WGO
FL-EK-0528-20161229-DXB-HYD-0,528,DXB,HYD,29/12/2016 10:50,29/12/2016 14:20,FALSE,29/12/2016 10:50,29/12/2016 14:20,NA,NA,4,3,335,A0WGA
FL-EK-0546-20161229-DXB-MAA-0,546,DXB,MAA,29/12/2016 10:45,29/12/2016 14:40,FALSE,29/12/2016 10:45,29/12/2016 14:40,NA,NA,5,26,292,A0WMY
FL-EK-0956-20161229-BEY-DXB-0,956,BEY,DXB,29/12/2016 22:55,30/12/2016 02:55,FALSE,29/12/2016 22:55,30/12/2016 02:55,NA,NA,6,38,293,A0WDN
FL-EK-0385-20161230-HKG-BKK-0,385,HKG,BKK,30/12/2016 13:15,30/12/2016 16:15,FALSE,30/12/2016 13:15,30/12/2016 16:15,NA,NA,0,0,13,A0WFP
FL-EK-0838-20161228-BAH-DXB-0,838,BAH,DXB,28/12/2016 06:50,28/12/2016 08:00,FALSE,28/12/2016 06:50,28/12/2016 08:00,NA,NA,2,36,252,A0WMP
FL-EK-0035-20161229-DXB-NCL-0,35,DXB,NCL,29/12/2016 03:25,29/12/2016 11:20,FALSE,29/12/2016 03:25,29/12/2016 11:20,NA,NA,0,35,299,A0WDZ
FL-EK-0035-20161230-DXB-NCL-0,35,DXB,NCL,30/12/2016 03:25,30/12/2016 11:20,FALSE,30/12/2016 03:25,30/12/2016 11:20,NA,NA,0,41,328,A0WCF
FL-EK-0415-20161230-SYD-DXB-0,415,SYD,DXB,30/12/2016 19:00,31/12/2016 09:20,FALSE,30/12/2016 19:00,31/12/2016 09:20,NA,NA,2,30,349,A0WFJ
FL-EK-0854-20161231-KWI-DXB-0,854,KWI,DXB,31/12/2016 00:45,31/12/2016 02:30,FALSE,31/12/2016 00:45,31/12/2016 02:30,NA,NA,0,10,274,A0WWH
FL-EK-0823-20161228-DXB-DMM-0,823,DXB,DMM,28/12/2016 22:50,29/12/2016 00:15,FALSE,28/12/2016 22:50,29/12/2016 00:15,NA,NA,0,10,80,A0WMT
FL-EK-0853-20161228-DXB-KWI-0,853,DXB,KWI,28/12/2016 21:40,28/12/2016 23:30,FALSE,28/12/2016 21:40,28/12/2016 23:30,NA,NA,2,6,57,A0WWU
FL-EK-0026-20161230-GLA-DXB-0,26,GLA,DXB,30/12/2016 20:50,31/12/2016 04:05,FALSE,30/12/2016 20:50,31/12/2016 04:05,NA,NA,7,41,304,A0WMF
FL-EK-0038-20161231-BHX-DXB-0,38,BHX,DXB,31/12/2016 20:45,01/01/2017 03:40,FALSE,31/12/2016 20:45,01/01/2017 03:40,NA,NA,0,23,248,A0WDV
FL-EK-0510-20161230-DXB-DEL-0,510,DXB,DEL,30/12/2016 00:30,30/12/2016 03:40,FALSE,30/12/2016 00:30,30/12/2016 03:40,NA,NA,1,27,289,A0WGU
FL-EK-0836-20161228-BAH-DXB-0,836,BAH,DXB,28/12/2016 00:45,28/12/2016 02:00,FALSE,28/12/2016 00:45,28/12/2016 02:00,NA,NA,3,22,126,A0WWU
FL-EK-0880-20161228-DOH-DXB-0,880,DOH,DXB,28/12/2016 02:55,28/12/2016 04:05,FALSE,28/12/2016 02:55,28/12/2016 04:05,NA,NA,0,0,1,A0WMV
FL-EK-0802-20161228-JED-DXB-0,802,JED,DXB,28/12/2016 02:40,28/12/2016 05:30,FALSE,28/12/2016 02:40,28/12/2016 05:30,NA,NA,0,39,370,A0WCF
FL-EK-0316-20161230-DXB-KIX-0,316,DXB,KIX,30/12/2016 23:20,31/12/2016 08:10,FALSE,30/12/2016 23:20,31/12/2016 08:10,NA,NA,0,14,114,A0WCV
FL-EK-0770-20161227-DXB-CPT-0,770,DXB,CPT,27/12/2016 04:55,27/12/2016 14:30,FALSE,27/12/2016 04:55,27/12/2016 14:30,27/12/2016 04:55,NA,8,37,301,A0WWS
FL-EK-0216-20161230-LAX-DXB-0,216,LAX,DXB,30/12/2016 23:35,31/12/2016 15:30,FALSE,30/12/2016 23:35,31/12/2016 15:30,NA,NA,2,29,243,A0WVL
FL-EK-0007-20161231-DXB-LHR-0,7,DXB,LHR,31/12/2016 23:10,01/01/2017 07:10,FALSE,31/12/2016 23:10,01/01/2017 07:10,NA,NA,11,64,408,A0WFN
FL-EK-0956-20161227-BEY-DXB-0,956,BEY,DXB,27/12/2016 22:55,28/12/2016 02:55,FALSE,27/12/2016 22:55,28/12/2016 02:55,NA,NA,0,25,275,A0WMJ
FL-EK-0977-20161231-DXB-IKA-0,977,DXB,IKA,31/12/2016 16:45,31/12/2016 19:00,FALSE,31/12/2016 16:45,31/12/2016 19:00,NA,NA,1,5,56,A0WIH
FL-EK-0415-20161227-SYD-DXB-0,415,SYD,DXB,27/12/2016 19:00,28/12/2016 09:20,FALSE,27/12/2016 19:00,28/12/2016 09:20,NA,NA,3,51,393,A0WNU
FL-EK-0132-20161229-DME-DXB-0,132,DME,DXB,29/12/2016 20:55,30/12/2016 02:20,FALSE,29/12/2016 20:55,30/12/2016 02:20,NA,NA,5,66,416,A0WLP
FL-EK-0161-20161229-DXB-DUB-0,161,DXB,DUB,29/12/2016 03:00,29/12/2016 11:20,FALSE,29/12/2016 03:00,29/12/2016 11:20,NA,NA,0,22,226,A0WWV
FL-EK-0418-20161230-BKK-SYD-0,418,BKK,SYD,30/12/2016 12:30,30/12/2016 22:00,FALSE,30/12/2016 12:30,30/12/2016 22:00,NA,NA,2,38,133,A0WLB
FL-EK-0236-20161231-ORD-DXB-0,236,ORD,DXB,31/12/2016 01:40,31/12/2016 15:00,FALSE,31/12/2016 01:40,31/12/2016 15:00,NA,NA,8,39,300,A0WDE
FL-EK-0412-20161231-SYD-CHC-0,412,SYD,CHC,31/12/2016 21:45,01/01/2017 00:50,FALSE,31/12/2016 21:45,01/01/2017 00:50,NA,NA,3,26,328,A0WNM
FL-EK-0112-20161231-BUD-DXB-0,112,BUD,DXB,31/12/2016 13:40,31/12/2016 19:05,FALSE,31/12/2016 13:40,31/12/2016 19:05,NA,NA,0,19,300,A0WBI
FL-EK-0421-20161227-PER-DXB-0,421,PER,DXB,27/12/2016 14:20,28/12/2016 01:25,FALSE,27/12/2016 14:20,28/12/2016 01:25,NA,NA,1,72,392,A0WFV
FL-EK-0653-20161231-MLE-DXB-0,653,MLE,DXB,31/12/2016 17:55,31/12/2016 22:05,FALSE,31/12/2016 17:55,31/12/2016 22:05,NA,NA,0,30,256,A0WMC
FL-EK-0803-20161229-DXB-JED-0,803,DXB,JED,29/12/2016 12:10,29/12/2016 15:20,FALSE,29/12/2016 12:10,29/12/2016 15:20,NA,NA,6,28,175,A0WDY
FL-EK-0418-20161227-BKK-SYD-0,418,BKK,SYD,27/12/2016 12:30,27/12/2016 22:00,FALSE,27/12/2016 12:30,27/12/2016 22:00,NA,NA,1,11,121,A0WNN
FL-EK-0539-20161230-AMD-DXB-0,539,AMD,DXB,30/12/2016 22:55,31/12/2016 02:10,FALSE,30/12/2016 22:55,31/12/2016 02:10,NA,NA,3,39,206,A0WIJ
FL-EK-0504-20161231-DXB-BOM-0,504,DXB,BOM,31/12/2016 23:55,01/01/2017 02:55,FALSE,31/12/2016 23:55,01/01/2017 02:55,NA,NA,2,20,315,A0WMU
FL-EK-0020-20161230-MAN-DXB-0,20,MAN,DXB,30/12/2016 20:35,31/12/2016 03:45,FALSE,30/12/2016 20:35,31/12/2016 03:45,NA,NA,0,56,546,A0WVS
FL-EK-0816-20161227-RUH-DXB-0,816,RUH,DXB,27/12/2016 00:55,27/12/2016 02:55,FALSE,27/12/2016 00:55,27/12/2016 02:55,27/12/2016 00:55,27/12/2016 02:55,0,11,95,A0WCX
FL-EK-0071-20161229-DXB-CDG-0,71,DXB,CDG,29/12/2016 23:20,30/12/2016 07:00,FALSE,29/12/2016 23:20,30/12/2016 07:00,NA,NA,2,57,411,A0WFQ
FL-EK-0248-20161230-EZE-GIG-0,248,EZE,GIG,30/12/2016 00:30,30/12/2016 03:20,FALSE,30/12/2016 00:30,30/12/2016 03:20,NA,NA,3,10,150,A0WDO
FL-EK-0943-20161227-DXB-BGW-0,943,DXB,BGW,27/12/2016 08:45,27/12/2016 11:15,FALSE,27/12/2016 08:45,27/12/2016 11:15,27/12/2016 08:45,27/12/2016 11:15,0,7,58,A0WIH
FL-EK-0087-20161229-DXB-ZRH-0,87,DXB,ZRH,29/12/2016 04:25,29/12/2016 11:25,FALSE,29/12/2016 04:25,29/12/2016 11:25,NA,NA,5,26,161,A0WNM
FL-EK-0135-20161231-DXB-VCE-0,135,DXB,VCE,31/12/2016 05:40,31/12/2016 12:20,FALSE,31/12/2016 05:40,31/12/2016 12:20,NA,NA,0,7,169,A0WWL
FL-EK-0052-20161231-MUC-DXB-0,52,MUC,DXB,31/12/2016 20:30,01/01/2017 02:30,FALSE,31/12/2016 20:30,01/01/2017 02:30,NA,NA,8,40,359,A0WFJ
FL-EK-0022-20161230-MAN-DXB-0,22,MAN,DXB,30/12/2016 08:45,30/12/2016 15:45,FALSE,30/12/2016 08:45,30/12/2016 15:45,NA,NA,0,41,380,A0WDV
FL-EK-0413-20161230-SYD-DXB-0,413,SYD,DXB,30/12/2016 10:45,31/12/2016 01:15,FALSE,30/12/2016 10:45,31/12/2016 01:15,NA,NA,9,73,409,A0WNN
FL-EK-0881-20161229-DXB-DOH-0,881,DXB,DOH,29/12/2016 15:20,29/12/2016 16:30,FALSE,29/12/2016 15:20,29/12/2016 16:30,NA,NA,0,11,218,A0WDF
FL-EK-0615-20161230-ISB-DXB-0,615,ISB,DXB,30/12/2016 20:10,30/12/2016 23:40,FALSE,30/12/2016 20:10,30/12/2016 23:40,NA,NA,0,37,376,A0WDR
FL-EK-0381-20161231-HKG-DXB-0,381,HKG,DXB,31/12/2016 16:35,01/01/2017 01:35,FALSE,31/12/2016 16:35,01/01/2017 01:35,NA,NA,0,26,155,A0WLP
FL-EK-0385-20161228-HKG-BKK-0,385,HKG,BKK,28/12/2016 13:15,28/12/2016 16:15,FALSE,28/12/2016 13:15,28/12/2016 16:15,NA,NA,0,1,48,A0WLU
FL-EK-0522-20161228-DXB-TRV-0,522,DXB,TRV,28/12/2016 17:40,28/12/2016 21:40,FALSE,28/12/2016 17:40,28/12/2016 21:40,NA,NA,0,26,311,A0WMV
FL-EK-0160-20161227-OSL-DXB-0,160,OSL,DXB,27/12/2016 12:40,27/12/2016 19:25,FALSE,27/12/2016 12:40,27/12/2016 19:25,NA,NA,8,42,305,A0WWE
FL-EK-0208-20161231-JFK-DXB-0,208,JFK,DXB,31/12/2016 21:35,01/01/2017 10:05,FALSE,31/12/2016 21:35,01/01/2017 10:05,NA,NA,5,51,390,A0WFY
FL-EK-0609-20161231-KHI-DXB-0,609,KHI,DXB,31/12/2016 14:35,31/12/2016 16:50,FALSE,31/12/2016 14:35,31/12/2016 16:50,NA,NA,0,37,361,A0WDZ
FL-EK-0565-20161228-BLR-DXB-0,565,BLR,DXB,28/12/2016 04:55,28/12/2016 09:00,FALSE,28/12/2016 04:55,28/12/2016 09:00,NA,NA,3,39,307,A0WGU
FL-EK-0844-20161230-DOH-DXB-0,844,DOH,DXB,30/12/2016 13:40,30/12/2016 14:55,FALSE,30/12/2016 13:40,30/12/2016 14:55,NA,NA,2,2,110,A0WCT
FL-EK-0349-20161229-SIN-CMB-0,349,SIN,CMB,29/12/2016 16:30,29/12/2016 20:10,FALSE,29/12/2016 16:30,29/12/2016 20:10,NA,NA,0,8,62,A0WWB
FL-EK-0768-20161228-JNB-DXB-0,768,JNB,DXB,28/12/2016 07:15,28/12/2016 15:20,FALSE,28/12/2016 07:15,28/12/2016 15:20,NA,NA,5,24,295,A0WWM
FL-EK-0019-20161228-DXB-MAN-0,19,DXB,MAN,28/12/2016 10:40,28/12/2016 18:40,FALSE,28/12/2016 10:40,28/12/2016 18:40,NA,NA,0,45,515,A0WVV
FL-EK-0751-20161230-DXB-CMN-0,751,DXB,CMN,30/12/2016 03:35,30/12/2016 12:30,FALSE,30/12/2016 03:35,30/12/2016 12:30,NA,NA,5,32,246,A0WCH
FL-EK-0976-20161229-IKA-DXB-0,976,IKA,DXB,29/12/2016 02:10,29/12/2016 04:20,FALSE,29/12/2016 02:10,29/12/2016 04:20,NA,NA,1,5,69,A0WIJ
FL-EK-0344-20161230-DXB-KUL-0,344,DXB,KUL,30/12/2016 17:40,31/12/2016 00:35,FALSE,30/12/2016 17:40,31/12/2016 00:35,NA,NA,0,38,354,A0WWR
FL-EK-0636-20161229-DXB-PEW-0,636,DXB,PEW,29/12/2016 22:05,30/12/2016 01:15,FALSE,29/12/2016 22:05,30/12/2016 01:15,NA,NA,0,19,327,A0WGR
FL-EK-0876-20161231-KWI-DXB-0,876,KWI,DXB,31/12/2016 16:30,31/12/2016 18:20,FALSE,31/12/2016 16:30,31/12/2016 18:20,NA,NA,0,23,112,A0WIW
FL-EK-0702-20161228-MRU-DXB-0,702,MRU,DXB,28/12/2016 12:15,28/12/2016 18:55,FALSE,28/12/2016 12:15,28/12/2016 18:55,NA,NA,7,76,341,A0WVD
FL-EK-0062-20161229-HAM-DXB-0,62,HAM,DXB,29/12/2016 20:00,30/12/2016 02:15,FALSE,29/12/2016 20:00,30/12/2016 02:15,NA,NA,0,38,367,A0WWT
FL-EK-2810-20161230-MED-DXB-0,2810,MED,DXB,30/12/2016 14:55,30/12/2016 17:20,FALSE,30/12/2016 14:55,30/12/2016 17:20,NA,NA,0,48,303,A0WBX
FL-EK-0882-20161231-DOH-DXB-0,882,DOH,DXB,31/12/2016 18:05,31/12/2016 19:30,FALSE,31/12/2016 18:05,31/12/2016 19:30,NA,NA,0,5,59,A0WMU
FL-EK-0567-20161227-BLR-DXB-0,567,BLR,DXB,27/12/2016 14:35,27/12/2016 18:50,FALSE,27/12/2016 14:35,27/12/2016 18:50,NA,NA,7,43,295,A0WDX
FL-EK-0613-20161230-ISB-DXB-0,613,ISB,DXB,30/12/2016 07:20,30/12/2016 10:55,FALSE,30/12/2016 07:20,30/12/2016 10:55,NA,NA,0,31,379,A0WCI
FL-EK-0052-20161228-MUC-DXB-0,52,MUC,DXB,28/12/2016 20:30,29/12/2016 02:30,FALSE,28/12/2016 20:30,29/12/2016 02:30,NA,NA,14,74,424,A0WLR
FL-EK-0326-20161228-INC-CGO-0,326,INC,CGO,28/12/2016 07:30,28/12/2016 09:10,FALSE,28/12/2016 07:30,28/12/2016 09:10,NA,NA,0,2,150,A0WIO
FL-EK-0834-20161228-BAH-DXB-0,834,BAH,DXB,28/12/2016 19:50,28/12/2016 21:15,FALSE,28/12/2016 19:50,28/12/2016 21:15,NA,NA,0,19,261,A0WDU
FL-EK-0352-20161229-DXB-SIN-0,352,DXB,SIN,29/12/2016 17:30,30/12/2016 00:30,FALSE,29/12/2016 17:30,30/12/2016 00:30,NA,NA,0,31,208,A0WWF
FL-EK-0705-20161230-DXB-SEZ-0,705,DXB,SEZ,30/12/2016 22:30,31/12/2016 03:05,FALSE,30/12/2016 22:30,31/12/2016 03:05,NA,NA,2,34,204,A0WWI
FL-EK-0344-20161229-DXB-KUL-0,344,DXB,KUL,29/12/2016 17:40,30/12/2016 00:35,FALSE,29/12/2016 17:40,30/12/2016 00:35,NA,NA,0,40,366,A0WWK
FL-EK-0703-20161229-DXB-MRU-0,703,DXB,MRU,29/12/2016 06:15,29/12/2016 12:55,FALSE,29/12/2016 06:15,29/12/2016 12:55,NA,NA,6,67,375,A0WVQ
FL-EK-0752-20161228-CMN-DXB-0,752,CMN,DXB,28/12/2016 13:55,28/12/2016 21:30,FALSE,28/12/2016 13:55,28/12/2016 21:30,NA,NA,6,36,278,A0WWY
FL-EK-0040-20161229-BHX-DXB-0,40,BHX,DXB,29/12/2016 13:30,29/12/2016 20:35,FALSE,29/12/2016 13:30,29/12/2016 20:35,NA,NA,0,57,544,A0WVI
FL-EK-0778-20161229-DXB-CPT-0,778,DXB,CPT,29/12/2016 06:50,29/12/2016 16:25,FALSE,29/12/2016 06:50,29/12/2016 16:25,NA,NA,0,22,355,A0WCP
FL-EK-0758-20161229-ALG-DXB-0,758,ALG,DXB,29/12/2016 14:10,29/12/2016 20:40,FALSE,29/12/2016 14:10,29/12/2016 20:40,NA,NA,4,36,301,A0WWU
FL-EK-0449-20161229-AKL-DXB-0,449,AKL,DXB,29/12/2016 08:15,30/12/2016 01:40,FALSE,29/12/2016 08:15,30/12/2016 01:40,NA,NA,7,44,369,A0WVY
FL-EK-0073-20161228-DXB-CDG-0,73,DXB,CDG,28/12/2016 03:50,28/12/2016 11:25,FALSE,28/12/2016 03:50,28/12/2016 11:25,NA,NA,0,35,407,A0WFX
FL-EK-0232-20161230-IAD-DXB-0,232,IAD,DXB,30/12/2016 15:25,31/12/2016 04:10,FALSE,30/12/2016 15:25,31/12/2016 04:10,NA,NA,1,60,391,A0WVO
FL-EK-0042-20161228-BHX-DXB-0,42,BHX,DXB,28/12/2016 08:15,28/12/2016 15:10,FALSE,28/12/2016 08:15,28/12/2016 15:10,NA,NA,0,37,382,A0WWO
FL-EK-0523-20161231-TRV-DXB-0,523,TRV,DXB,31/12/2016 23:00,01/01/2017 03:15,FALSE,31/12/2016 23:00,01/01/2017 03:15,NA,NA,0,23,298,A0WWE
FL-EK-0631-20161228-MUX-DXB-0,631,MUX,DXB,28/12/2016 15:55,28/12/2016 19:10,FALSE,28/12/2016 15:55,28/12/2016 19:10,NA,NA,0,25,379,A0WWJ
FL-EK-0840-20161229-BAH-DXB-0,840,BAH,DXB,29/12/2016 14:45,29/12/2016 16:00,FALSE,29/12/2016 14:45,29/12/2016 16:00,NA,NA,2,24,273,A0WDU
FL-EK-0414-20161227-DXB-SYD-0,414,DXB,SYD,27/12/2016 21:55,28/12/2016 11:30,FALSE,27/12/2016 21:55,28/12/2016 11:30,NA,NA,11,65,415,A0WVM
FL-EK-0095-20161227-DXB-FCO-0,95,DXB,FCO,27/12/2016 11:05,27/12/2016 17:45,FALSE,27/12/2016 11:05,27/12/2016 17:45,27/12/2016 11:05,NA,0,18,174,A0WNR
FL-EK-0521-20161231-TRV-DXB-0,521,TRV,DXB,31/12/2016 04:35,31/12/2016 08:55,FALSE,31/12/2016 04:35,31/12/2016 08:55,NA,NA,0,35,215,A0WGI
FL-EK-0566-20161229-DXB-BLR-0,566,DXB,BLR,29/12/2016 09:35,29/12/2016 13:05,FALSE,29/12/2016 09:35,29/12/2016 13:05,NA,NA,1,20,304,A0WCQ
FL-EK-0608-20161228-DXB-KHI-0,608,DXB,KHI,28/12/2016 10:25,28/12/2016 12:35,FALSE,28/12/2016 10:25,28/12/2016 12:35,NA,NA,0,30,315,A0WBP
FL-EK-0305-20161227-PVG-DXB-0,305,PVG,DXB,27/12/2016 22:15,28/12/2016 08:20,FALSE,27/12/2016 22:15,28/12/2016 08:20,NA,NA,1,11,94,A0WDQ
FL-EK-0847-20161229-DXB-DOH-0,847,DXB,DOH,29/12/2016 22:05,29/12/2016 23:20,FALSE,29/12/2016 22:05,29/12/2016 23:20,NA,NA,1,14,132,A0WIK
FL-EK-0928-20161228-CAI-DXB-0,928,CAI,DXB,28/12/2016 10:15,28/12/2016 13:45,FALSE,28/12/2016 10:15,28/12/2016 13:45,NA,NA,6,41,296,A0WGO
FL-EK-0004-20161230-LHR-DXB-0,4,LHR,DXB,30/12/2016 20:20,31/12/2016 03:05,FALSE,30/12/2016 20:20,31/12/2016 03:05,NA,NA,12,73,417,A0WFN
FL-EK-0806-20161231-JED-DXB-0,806,JED,DXB,31/12/2016 08:05,31/12/2016 10:45,FALSE,31/12/2016 08:05,31/12/2016 10:45,NA,NA,0,41,337,A0WCP
FL-EK-0225-20161231-DXB-SFO-0,225,DXB,SFO,31/12/2016 04:45,31/12/2016 20:45,FALSE,31/12/2016 04:45,31/12/2016 20:45,NA,NA,2,71,382,A0WLE
FL-EK-0569-20161227-BLR-DXB-0,569,BLR,DXB,27/12/2016 22:50,28/12/2016 02:50,FALSE,27/12/2016 22:50,28/12/2016 02:50,NA,NA,0,30,305,A0WMB
FL-EK-0017-20161227-DXB-MAN-0,17,DXB,MAN,27/12/2016 03:15,27/12/2016 11:20,FALSE,27/12/2016 03:15,27/12/2016 11:20,27/12/2016 03:15,27/12/2016 11:20,1,15,313,A0WFM
FL-EK-0867-20161229-MCT-DXB-0,867,MCT,DXB,29/12/2016 00:55,29/12/2016 02:05,FALSE,29/12/2016 00:55,29/12/2016 02:05,NA,NA,1,2,131,A0WCD
FL-EK-0434-20161228-DXB-BNE-0,434,DXB,BNE,28/12/2016 06:25,28/12/2016 20:40,FALSE,28/12/2016 06:25,28/12/2016 20:40,NA,NA,5,51,339,A0WFZ
FL-EK-0228-20161228-SEA-DXB-0,228,SEA,DXB,28/12/2016 17:00,29/12/2016 07:30,FALSE,28/12/2016 17:00,29/12/2016 07:30,NA,NA,3,12,256,A0WDT
FL-EK-0979-20161227-DXB-IKA-0,979,DXB,IKA,27/12/2016 12:10,27/12/2016 14:30,FALSE,27/12/2016 12:10,27/12/2016 14:30,NA,NA,0,6,141,A0WGR
FL-EK-0414-20161229-DXB-SYD-0,414,DXB,SYD,29/12/2016 21:55,30/12/2016 11:30,FALSE,29/12/2016 21:55,30/12/2016 11:30,NA,NA,7,72,373,A0WFJ
FL-EK-0923-20161229-DXB-CAI-0,923,DXB,CAI,29/12/2016 11:00,29/12/2016 15:15,FALSE,29/12/2016 11:00,29/12/2016 15:15,NA,NA,5,31,288,A0WCH
FL-EK-0771-20161228-CPT-DXB-0,771,CPT,DXB,28/12/2016 16:15,29/12/2016 01:45,FALSE,28/12/2016 16:15,29/12/2016 01:45,NA,NA,0,35,348,A0WCI
FL-EK-0852-20161231-DOH-DXB-0,852,DOH,DXB,31/12/2016 08:50,31/12/2016 09:55,FALSE,31/12/2016 08:50,31/12/2016 09:55,NA,NA,0,3,154,A0WIJ
FL-EK-0150-20161230-AMS-DXB-0,150,AMS,DXB,30/12/2016 21:00,31/12/2016 03:35,FALSE,30/12/2016 21:00,31/12/2016 03:35,NA,NA,14,66,414,A0WLU
FL-EK-0858-20161228-KWI-DXB-0,858,KWI,DXB,28/12/2016 14:45,28/12/2016 16:30,FALSE,28/12/2016 14:45,28/12/2016 16:30,NA,NA,10,38,369,A0WLC
FL-EK-0819-20161227-DXB-RUH-0,819,DXB,RUH,27/12/2016 03:00,27/12/2016 05:00,FALSE,27/12/2016 03:00,27/12/2016 05:00,27/12/2016 03:00,27/12/2016 05:00,1,16,122,A0WWX
