"Tail","FlightId","Origin","Destination","STD","STA","ETD","ETA","type"
"A0WMM","EK0654","DXB","CMB","12/27/2016 05:05","12/27/2016 09:20","12/27/2016 07:05","12/27/2016 11:20","delayed"
"A0WMM","EK0653","CMB","MLE",,,"12/27/2016 14:45","12/27/2016 16:25","swapped"
"A0WMM","EK0654","DXB","CMB","12/27/2016 05:05","12/27/2016 09:20","12/27/2016 07:05","12/27/2016 11:20","delayed"
"A0WMM","EK0653","CMB","MLE",,,"12/27/2016 14:45","12/27/2016 16:25","swapped"
"A0WMM","EK0654","DXB","CMB","12/27/2016 05:05","12/27/2016 09:20","12/27/2016 07:05","12/27/2016 11:20","delayed"
"A0WMM","EK0653","CMB","MLE",,,"12/27/2016 14:45","12/27/2016 16:25","swapped"
"A0WMM","EK0654","DXB","CMB","12/27/2016 05:05","12/27/2016 09:20","12/27/2016 07:05","12/27/2016 11:20","delayed"
"A0WMM","EK0653","CMB","MLE",,,"12/27/2016 14:45","12/27/2016 16:25","swapped"
"A0WMM","EK0654","DXB","CMB","12/27/2016 05:05","12/27/2016 09:20","12/27/2016 07:05","12/27/2016 11:20","delayed"
"A0WMM","EK0653","CMB","MLE",,,"12/27/2016 14:45","12/27/2016 16:25","swapped"
"A0WMM","EK0654","DXB","CMB","12/27/2016 05:05","12/27/2016 09:20","12/27/2016 07:05","12/27/2016 11:20","delayed"
"A0WMM","EK0653","CMB","MLE",,,"12/27/2016 14:45","12/27/2016 16:25","swapped"
"A0WMM","EK0654","DXB","CMB","12/27/2016 05:05","12/27/2016 09:20","12/27/2016 07:05","12/27/2016 11:20","delayed"
"A0WMM","EK0653","CMB","MLE",,,"12/27/2016 14:45","12/27/2016 16:25","swapped"
"A0WMM","EK0654","DXB","CMB","12/27/2016 05:05","12/27/2016 09:20","12/27/2016 07:05","12/27/2016 11:20","delayed"
"A0WMM","EK0653","CMB","MLE",,,"12/27/2016 14:45","12/27/2016 16:25","swapped"
"A0WMM","EK0654","DXB","CMB","12/27/2016 05:05","12/27/2016 09:20","12/27/2016 07:05","12/27/2016 11:20","delayed"
"A0WMM","EK0653","CMB","MLE",,,"12/27/2016 14:45","12/27/2016 16:25","swapped"
"A0WMM","EK0654","DXB","CMB","12/27/2016 05:05","12/27/2016 09:20","12/27/2016 07:05","12/27/2016 11:20","delayed"
"A0WMM","EK0653","CMB","MLE",,,"12/27/2016 14:45","12/27/2016 16:25","swapped"
"A0WMM","EK0654","DXB","CMB","12/27/2016 05:05","12/27/2016 09:20","12/27/2016 07:05","12/27/2016 11:20","delayed"
"A0WMM","EK0653","CMB","MLE",,,"12/27/2016 14:45","12/27/2016 16:25","swapped"
"A0WMM","EK0654","DXB","CMB","12/27/2016 05:05","12/27/2016 09:20","12/27/2016 07:05","12/27/2016 11:20","delayed"
"A0WWI","EK0655","CMB","DXB",,,"12/27/2016 15:40","12/27/2016 20:15","delaydelaydelaydelaydelaydelaydelaydelaydelaydelaydelaydelaydelayswapped"
"A0WWI","EK0652","DXB","MLE","12/27/2016 05:40","12/27/2016 09:55","12/27/2016 07:05","12/27/2016 11:20","delayed"
"A0WWI","EK0652","MLE","CMB","12/27/2016 11:20","12/27/2016 12:50","12/27/2016 12:45","12/27/2016 14:15","delayed"
"A0WWI","EK0655","CMB","DXB",,,"12/27/2016 15:40","12/27/2016 20:15","delaydelaydelaydelaydelaydelaydelaydelaydelaydelaydelaydelayswapped"
